transaction_id,store_id,city,date,vendor,amount,invoice_number,notes
TX-001-20240101-SYSC,TX-001,Fort Worth,2024-01-01,Sysco Foods,1843.22,INV-48291,Weekly food delivery
TX-001-20240101-ADPP,TX-001,Fort Worth,2024-01-01,ADP Payroll,6102.50,INV-77341,Bi-weekly payroll
TX-001-20240101-TXUE,TX-001,Fort Worth,2024-01-01,TXU Energy,298.40,INV-33210,Monthly electric
TX-001-20240102-USFO,TX-001,Fort Worth,2024-01-02,US Foods,1612.88,INV-48300,Food delivery
TX-001-20240102-SHIF,TX-001,Fort Worth,2024-01-02,Shift Labor Inc,920.00,INV-55120,Weekend labor
TX-001-20240102-REPU,TX-001,Fort Worth,2024-01-02,Republic Services,138.75,INV-22041,Trash pickup
TX-001-20240103-LOCA,TX-001,Fort Worth,2024-01-03,Local Produce Co,412.60,INV-10293,Fresh produce
TX-001-20240103-ECOL,TX-001,Fort Worth,2024-01-03,Ecolab Cleaning,215.30,INV-66112,Cleaning supplies
TX-001-20240103-SQUA,TX-001,Fort Worth,2024-01-03,Square POS,120.00,INV-90041,Monthly POS fee
TX-001-20240104-SYSC,TX-001,Fort Worth,2024-01-04,Sysco Foods,1790.44,INV-48410,Food delivery
TX-001-20240104-ADPP,TX-001,Fort Worth,2024-01-04,ADP Payroll,6340.00,INV-77398,Bi-weekly payroll
TX-001-20240104-UNIF,TX-001,Fort Worth,2024-01-04,Unifirst Uniforms,188.50,INV-34512,Uniform rental
TX-001-20240105-USFO,TX-001,Fort Worth,2024-01-05,US Foods,1544.10,INV-48501,Food delivery
TX-001-20240105-ATMO,TX-001,Fort Worth,2024-01-05,Atmos Gas,174.20,INV-29011,Gas utility
TX-001-20240105-OPEN,TX-001,Fort Worth,2024-01-05,OpenTable,90.00,INV-81200,Reservation software
TX-001-20240106-HOBA,TX-001,Fort Worth,2024-01-06,Hobart Service,295.00,INV-44321,Equipment maintenance
TX-001-20240106-LOCA,TX-001,Fort Worth,2024-01-06,Local Produce Co,389.75,INV-10310,Fresh produce
TX-001-20240106-CINL,TX-001,Fort Worth,2024-01-06,Cintas Linens,162.40,INV-57831,Linen service
TX-001-20240107-SYSC,TX-001,Fort Worth,2024-01-07,Sysco Foods,1920.00,INV-48520,Food delivery
TX-001-20240107-ADPP,TX-001,Fort Worth,2024-01-07,ADP Payroll,6200.00,INV-77410,Bi-weekly payroll
TX-001-20240108-STAP,TX-001,Fort Worth,2024-01-08,Staples,82.30,INV-19204,Office supplies
TX-001-20240108-USFO,TX-001,Fort Worth,2024-01-08,US Foods,1680.55,INV-48600,Food delivery
TX-001-20240109-TXUE,TX-001,Fort Worth,2024-01-09,TXU Energy,1254.80,INV-33290,ANOMALY - HVAC failure
TX-001-20240109-SHIF,TX-001,Fort Worth,2024-01-09,Shift Labor Inc,880.00,INV-55200,Weekend labor
TX-001-20240110-SYSC,TX-001,Fort Worth,2024-01-10,Sysco Foods,1755.90,INV-48650,Food delivery
TX-001-20240110-ECOL,TX-001,Fort Worth,2024-01-10,Ecolab Cleaning,225.10,INV-66190,Cleaning supplies
TX-001-20240111-ADPP,TX-001,Fort Worth,2024-01-11,ADP Payroll,6050.00,INV-77450,Bi-weekly payroll
TX-001-20240111-LOCA,TX-001,Fort Worth,2024-01-11,Local Produce Co,405.00,INV-10380,Fresh produce
TX-001-20240112-USFO,TX-001,Fort Worth,2024-01-12,US Foods,1590.20,INV-48710,Food delivery
TX-001-20240112-HOBA,TX-001,Fort Worth,2024-01-12,Hobart Service,310.00,INV-44400,Equipment maintenance
TX-001-20240113-SYSC,TX-001,Fort Worth,2024-01-13,Sysco Foods,1810.40,INV-48760,Food delivery
TX-001-20240113-CINL,TX-001,Fort Worth,2024-01-13,Cintas Linens,158.90,INV-57900,Linen service
TX-001-20240114-REPU,TX-001,Fort Worth,2024-01-14,Republic Services,142.00,INV-22100,Trash pickup
TX-001-20240115-ADPP,TX-001,Fort Worth,2024-01-15,ADP Payroll,6280.00,INV-77500,Bi-weekly payroll
TX-001-20240115-SHIF,TX-001,Fort Worth,2024-01-15,Shift Labor Inc,960.00,INV-55280,Weekend labor
TX-002-20240101-SYSC,TX-002,Dallas,2024-01-01,Sysco Foods,1920.10,INV-48292,Weekly food delivery
TX-002-20240101-ADPP,TX-002,Dallas,2024-01-01,ADP Payroll,6400.00,INV-77342,Bi-weekly payroll
TX-002-20240101-TXUE,TX-002,Dallas,2024-01-01,TXU Energy,315.60,INV-33211,Monthly electric
TX-002-20240102-USFO,TX-002,Dallas,2024-01-02,US Foods,1740.30,INV-48301,Food delivery
TX-002-20240102-SHIF,TX-002,Dallas,2024-01-02,Shift Labor Inc,990.00,INV-55121,Weekend labor
TX-002-20240103-LOCA,TX-002,Dallas,2024-01-03,Local Produce Co,430.20,INV-10294,Fresh produce
TX-002-20240103-ECOL,TX-002,Dallas,2024-01-03,Ecolab Cleaning,230.00,INV-66113,Cleaning supplies
TX-002-20240104-SYSC,TX-002,Dallas,2024-01-04,Sysco Foods,5100.00,INV-48411,ANOMALY - over-order event
TX-002-20240104-ADPP,TX-002,Dallas,2024-01-04,ADP Payroll,6500.00,INV-77399,Bi-weekly payroll
TX-002-20240104-UNIF,TX-002,Dallas,2024-01-04,Unifirst Uniforms,195.00,INV-34513,Uniform rental
